plotID	nlcdClass	envoBroadScale_id	envoBroadScale_label	envoLocalScale_id	envoLocalScale_label
BONA_084	deciduousForest	ENVO:01000202	temperate broadleaf forest biome	ENVO:01000385	temperate deciduous broadleaf forest
BONA_080	evergreenForest	ENVO:01000250	subpolar coniferous forest biome	ENVO:01000843	area of evergreen forest
DEJU_048	evergreenForest	ENVO:01000250	subpolar coniferous forest biome	ENVO:01000843	area of evergreen forest
DEJU_045	shrubScrub	ENVO:01000180	tundra biome	ENVO:01000869	area of scrub
DEJU_046	evergreenForest	ENVO:01000250	subpolar coniferous forest biome	ENVO:01000843	area of evergreen forest
DEJU_047	evergreenForest	ENVO:01000250	subpolar coniferous forest biome	ENVO:01000843	area of evergreen forest
DEJU_014	evergreenForest	ENVO:01000250	subpolar coniferous forest biome	ENVO:01000843	area of evergreen forest
DEJU_009	evergreenForest	ENVO:01000250	subpolar coniferous forest biome	ENVO:01000843	area of evergreen forest
DEJU_006	evergreenForest	ENVO:01000250	subpolar coniferous forest biome	ENVO:01000843	area of evergreen forest
DEJU_001	shrubScrub	ENVO:01000180	tundra biome	ENVO:01000869	area of scrub
DEJU_002	shrubScrub	ENVO:01000180	tundra biome	ENVO:01000869	area of scrub
DEJU_015	woodyWetlands	ENVO:01000174	forest biome	ENVO:01000893	area of woody wetland
PUUM_036	evergreenForest	ENVO:01000209	subtropical coniferous forest biome	ENVO:01000843	area of evergreen forest
PUUM_010	evergreenForest	ENVO:01000209	subtropical coniferous forest biome	ENVO:01000843	area of evergreen forest
PUUM_006	evergreenForest	ENVO:01000209	subtropical coniferous forest biome	ENVO:01000843	area of evergreen forest
PUUM_042	evergreenForest	ENVO:01000209	subtropical coniferous forest biome	ENVO:01000843	area of evergreen forest
PUUM_014	evergreenForest	ENVO:01000209	subtropical coniferous forest biome	ENVO:01000843	area of evergreen forest
PUUM_034	evergreenForest	ENVO:01000209	subtropical coniferous forest biome	ENVO:01000843	area of evergreen forest
PUUM_040	evergreenForest	ENVO:01000209	subtropical coniferous forest biome	ENVO:01000843	area of evergreen forest
PUUM_015	evergreenForest	ENVO:01000209	subtropical coniferous forest biome	ENVO:01000843	area of evergreen forest
PUUM_007	evergreenForest	ENVO:01000209	subtropical coniferous forest biome	ENVO:01000843	area of evergreen forest
PUUM_004	evergreenForest	ENVO:01000209	subtropical coniferous forest biome	ENVO:01000843	area of evergreen forest
SCBI_003	deciduousForest	ENVO:01000202	temperate broadleaf forest biome	ENVO:01000385	temperate deciduous broadleaf forest
SCBI_004	deciduousForest	ENVO:01000202	temperate broadleaf forest biome	ENVO:01000385	temperate deciduous broadleaf forest
SCBI_006	pastureHay	ENVO:01000245	cropland biome	ENVO:01000891	area of pastureland or hayfields
SCBI_007	deciduousForest	ENVO:01000202	temperate broadleaf forest biome	ENVO:01000385	temperate deciduous broadleaf forest
SCBI_010	deciduousForest	ENVO:01000202	temperate broadleaf forest biome	ENVO:01000385	temperate deciduous broadleaf forest
SCBI_045	deciduousForest	ENVO:01000202	temperate broadleaf forest biome	ENVO:01000385	temperate deciduous broadleaf forest
SCBI_047	deciduousForest	ENVO:01000202	temperate broadleaf forest biome	ENVO:01000385	temperate deciduous broadleaf forest
SCBI_049	deciduousForest	ENVO:01000202	temperate broadleaf forest biome	ENVO:01000385	temperate deciduous broadleaf forest
SCBI_067	deciduousForest	ENVO:01000202	temperate broadleaf forest biome	ENVO:01000385	temperate deciduous broadleaf forest
SJER_025	shrubScrub	ENVO:01000215	temperate shrubland biome	ENVO:01000869	area of scrub
SRER_001	shrubScrub	ENVO:01000215	temperate shrubland biome	ENVO:01000869	area of scrub
SRER_002	shrubScrub	ENVO:01000215	temperate shrubland biome	ENVO:01000869	area of scrub
SRER_003	shrubScrub	ENVO:01000215	temperate shrubland biome	ENVO:01000869	area of scrub
SRER_004	shrubScrub	ENVO:01000215	temperate shrubland biome	ENVO:01000869	area of scrub
SRER_043	shrubScrub	ENVO:01000215	temperate shrubland biome	ENVO:01000869	area of scrub
SRER_047	shrubScrub	ENVO:01000215	temperate shrubland biome	ENVO:01000869	area of scrub
CLBJ_001	deciduousForest	ENVO:01000202	temperate broadleaf forest biome	ENVO:01000385	temperate deciduous broadleaf forest
CLBJ_002	deciduousForest	ENVO:01000202	temperate broadleaf forest biome	ENVO:01000385	temperate deciduous broadleaf forest
CLBJ_003	deciduousForest	ENVO:01000202	temperate broadleaf forest biome	ENVO:01000385	temperate deciduous broadleaf forest
CLBJ_006	deciduousForest	ENVO:01000202	temperate broadleaf forest biome	ENVO:01000385	temperate deciduous broadleaf forest
CLBJ_032	grasslandHerbaceous	ENVO:01000193	temperate grassland biome	ENVO:01001811	temperate grassland
CLBJ_033	deciduousForest	ENVO:01000202	temperate broadleaf forest biome	ENVO:01000385	temperate deciduous broadleaf forest
CLBJ_035	grasslandHerbaceous	ENVO:01000193	temperate grassland biome	ENVO:01001811	temperate grassland
CLBJ_038	deciduousForest	ENVO:01000202	temperate broadleaf forest biome	ENVO:01000385	temperate deciduous broadleaf forest
CLBJ_040	deciduousForest	ENVO:01000202	temperate broadleaf forest biome	ENVO:01000385	temperate deciduous broadleaf forest
CPER_001	grasslandHerbaceous	ENVO:01000193	temperate grassland biome	ENVO:01001811	temperate grassland
DSNY_003	woodyWetlands	ENVO:01000174	forest biome	ENVO:01000893	area of woody wetland
DSNY_004	woodyWetlands	ENVO:01000174	forest biome	ENVO:01000893	area of woody wetland
DSNY_009	pastureHay	ENVO:01000245	cropland biome	ENVO:01000891	area of pastureland or hayfields
DSNY_041	pastureHay	ENVO:01000245	cropland biome	ENVO:01000891	area of pastureland or hayfields
DSNY_042	pastureHay	ENVO:01000245	cropland biome	ENVO:01000891	area of pastureland or hayfields
DSNY_043	pastureHay	ENVO:01000245	cropland biome	ENVO:01000891	area of pastureland or hayfields
DSNY_044	pastureHay	ENVO:01000245	cropland biome	ENVO:01000891	area of pastureland or hayfields
GUAN_001	evergreenForest	ENVO:01000209	subtropical coniferous forest biome	ENVO:01000843	area of evergreen forest
GUAN_002	evergreenForest	ENVO:01000209	subtropical coniferous forest biome	ENVO:01000843	area of evergreen forest
GUAN_003	evergreenForest	ENVO:01000209	subtropical coniferous forest biome	ENVO:01000843	area of evergreen forest
GUAN_004	evergreenForest	ENVO:01000209	subtropical coniferous forest biome	ENVO:01000843	area of evergreen forest
